@lat,@lon,name
35.5642047,129.1290385,언양분기점
35.5722584,129.2247798,범서하이패스
36.0316588,128.9141490,북영천IC
36.0548158,129.0039178,임고IC(하이패스)
36.0712437,129.2187190,서포항IC
36.0464692,129.3020443,학전IC
35.9504215,127.0971095,익산분기점
35.8646489,127.2355638,소양
35.8646809,127.2338745,소양
35.8890039,127.1644742,완주분기점
36.0711608,129.2191695,서포항IC
36.0321735,128.9155859,북영천IC
36.0233791,128.8938647,화산분기점
35.9731279,128.8327556,청통와촌IC
35.9687200,128.8271700,청통와촌IC
35.8823205,127.1818634,완주분기점
37.4885694,126.4839011,공항신도시분기점
37.4869191,126.4854186,공항신도시분기점
37.4909495,126.4928059,공항신도시분기점
37.4880402,126.4901551,공항신도시분기점
37.4792974,126.4858300,공항신도시분기점
37.5147937,126.5322904,금산
37.4246528,126.8891158,일직분기점
37.4383119,126.8559882,광명 나들목
37.4401506,126.8467494,광명 나들목
37.2626806,127.4089246,마장분기점
37.2800756,127.3879830,서이천IC
37.2736722,127.3952933,서이천IC
37.2571615,127.4122025,마장분기점
37.3491068,127.3222843,곤지암IC
37.4461248,127.2755812,광주IC
37.3517654,127.3211302,곤지암IC
37.4851690,127.2406137,산곡분기점
35.5962819,127.7728447,북함양분기점
35.5886959,127.7707176,지곡 나들목
35.6639804,127.6754918,서상 나들목
35.7342630,127.6032594,장수분기점
35.7244626,127.6108663,장수분기점
35.5291791,127.7737463,함양 분기점
35.8403146,127.6466569,덕유산IC
35.6684172,127.6711792,서상 나들목
35.7681409,128.4744318,달성 나들목
35.6794558,128.4344385,현풍IC
35.6787292,128.4322377,현풍IC
35.7607959,128.3711558,고령 분기점
35.7581421,128.3725232,고령 분기점
36.1544988,128.2670718,김천 분기점
35.5394262,128.4770930,창녕IC
35.6682209,128.4356364,현풍 분기점
36.3614367,128.2378930,낙동분기점
36.6980067,128.1111653,문경새재IC
36.4190508,128.2146968,상주IC
36.1613136,128.2595496,김천 분기점
35.3315335,128.5032766,칠서IC
35.3255879,128.5054705,칠서 나들목
37.1256300,127.6663700,감곡IC
37.0346432,127.8018700,북충주 나들목
35.7951001,128.4642280,옥포 분기점
37.0456736,127.7341146,충주분기점
37.1246700,127.6698000,감곡IC
35.2564336,128.5172559,내서 분기점
35.4017539,128.4821416,남지IC
35.3964398,128.4841500,남지IC
37.8105433,127.7678384,춘천 휴게소
35.9324505,128.5340608,칠곡
35.8768511,128.5311163,서대구
35.8975486,128.5244345,금호분기점
37.6761235,127.8618758,홍천 나들목
37.8147275,127.7679687,춘천 휴게소
37.8413049,127.7694475,춘천
37.3812124,127.8942163,신평분기점
37.4190338,127.9190821,북원주 나들목
37.4223342,127.9261384,북원주 나들목
37.3695710,127.8987105,만종분기점
36.8508014,128.5329783,풍기 나들목
36.1989225,128.5589789,군위 나들목
36.0416466,128.5178703,다부 나들목
35.9389524,128.5369388,칠곡
37.0743937,128.1836711,남제천 나들목
37.0767219,128.1813264,제천분기점
37.1304188,128.1449799,제천 나들목
