pid,property,invest_target,kind,inferred_status,book_value_mn,lon,lat,geo_method
계룡대한제3호 | 충청북도 음성군 대소면 대동로 809-5 (기흥2차아파트),계룡대한제3호,주택(공동주택),개발사업,특이공시 있음(계속 공시 가능),,127.495618624141,36.9613765786857,addr
고덕리엔파크1단지 | 서울시 강동구 강일동 707,고덕리엔파크1단지,주택,일반,최근 투자보고서 있음(계속 운용 추정),,127.171664703784,37.5611806601526,addr
"고덕리엔파크1단지 | 서울특별시 강동구 상일로 152(강일동, 고덕리엔파크1단지아파트)",고덕리엔파크1단지,주택(공동주택),일반,최근 투자보고서 있음(계속 운용 추정),,127.171480371181,37.5616428685115,addr
고덕리엔파크2단지 | 서울시 강동구 강일동 717,고덕리엔파크2단지,주택,일반,최근 투자보고서 있음(계속 운용 추정),,127.173086679368,37.5595969760082,addr
"고덕리엔파크2단지 | 서울특별시 강동구 고덕로 427(강일동, 고덕리엔파크2단지아파트)",고덕리엔파크2단지,주택(공동주택),일반,최근 투자보고서 있음(계속 운용 추정),,127.173182162867,37.5587972921376,addr
고덕리엔파크3단지 | 서울시 강동구 상일동 490,고덕리엔파크3단지,주택,일반,최근 투자보고서 있음(계속 운용 추정),,127.175022524959,37.5528325043365,addr
"고덕리엔파크3단지 | 서울특별시 강동구 상일로 74(상일동, 고덕리엔파크3단지아파트)",고덕리엔파크3단지,주택(공동주택),일반,최근 투자보고서 있음(계속 운용 추정),,127.174785524346,37.5513683747695,addr
고려교육타워-어바니엘한강 | 서울특별시 동작구 노량진동 333,고려교육타워-어바니엘한강,주택(공동주택),일반,최근 투자보고서 있음(계속 운용 추정),,126.946704323258,37.5129510662442,addr
고안리 물류창고1 | 경기도 용인시 처인구 백암면 원설로 677,고안리 물류창고1,물류,일반,특이공시 있음(계속 공시 가능),95108.0,127.407160712299,37.1420672328474,addr
고양물류센터 | 경기도 고양시 덕양구 권율대로 570(원흥동),고양물류센터,물류,일반,특이공시 있음(계속 공시 가능),,126.87379545786,37.6403771056018,addr
고양삼송 B-2BL | 경기도 고양시 오금동 595,고양삼송 B-2BL,주택,개발사업,최근 투자보고서 있음(계속 운용 추정),231969.638024,126.898329748788,37.6618319324655,addr
"고양삼송 | 경기도 고양시 덕양구 삼송동 315-4, 315-5",고양삼송,주택,권리(사용권 등)에 관련된 부동산,특이공시 있음(계속 공시 가능),,126.889683258751,37.6512381680767,addr
고양삼송 | 경기도 고양시 덕양구 세솔로1길 13-2 (삼송동),고양삼송,기타,권리(사용권 등)에 관련된 부동산,특이공시 있음(계속 공시 가능),,126.889714162088,37.6511835974281,addr
