var1,var2,n,pearson_r,pearson_p,spearman_r,spearman_p,same_block,block1,block2,q_fdr
base_rate_chg_12m,rtms_fac_unit_3m,765,-0.05699413531756599,0.11523737478240263,-0.03560341334487284,0.325389311428576,False,rates,rtms_fac,0.4543893048337937
hug_sago_last_yr,ah_under_ratio,328,0.09611640754076643,0.08218917155688604,0.054407379249326544,0.32593949722308335,False,hug,applyhome,0.4548012765270947
ap_pms_day,ah_sale_unit_med,400,0.049206896481128554,0.3262709088812812,0.049246437581249664,0.32588183920677893,False,hub,applyhome,0.4548012765270947
rtms_fac_n_yoy_pct,ap_stcns_day,133,0.12788260821101577,0.14239701377187639,0.08583539936228547,0.3259163645980386,False,rtms_fac,hub,0.4548012765270947
rtms_land_dae_n,appr_vs_rtms_all_3m,765,0.02328777472759031,0.5201319719464063,-0.035534160738311,0.32633185370990786,False,rtms_land,valuation,0.4552299561144997
rtms_fac_n,ah_under_ratio,745,-0.15045558873080306,3.7358722107980735e-05,-0.03598565170144831,0.3266491788548917,False,rtms_fac,applyhome,0.45555377134509806
house_idx,kfb_understated,425,0.04188483409574839,0.38906572349921253,0.047501237318140294,0.3286035348037206,False,land_house,exit,0.4581598697771823
unsold_pct_completed,kiscon_amt_priv_yoy_pct,697,-0.05635788093686349,0.13717290533932164,-0.03701453109254233,0.3291675087776232,False,unsold,kiscon,0.4588265561610926
cd_91d,hug_sago_last_yr,335,0.042459512974738954,0.4385871058434527,0.05345938191613975,0.329308436229302,False,rates,hug,0.45890336422154754
cd_91d,rtms_land_n_yoy_pct,798,-0.04213273839468776,0.23449260172692327,-0.03456961777168744,0.32940443409449144,False,rates,rtms_land,0.4589175375464423
corp_bond_BBB3y,rtms_apt_n_3m,798,0.10954966326812587,0.0019408472168717561,0.03452895483802841,0.3299739847691577,False,rates,rtms_apt,0.45959127287332274
discount_ratio,yield_midlarge,499,0.06260262458105928,0.16262435059552743,0.04368744820009592,0.33009564674259956,False,site_price,commercial,0.45964099560746874
cci_civil,minbid_vs_rtms_dae_3m,498,-0.006948740357701051,0.8770738493702562,-0.04371446808349154,0.33028385687091544,False,cci,valuation,0.45978333316552583
rtms_apt_unit_3m,exited,798,0.035860929051710524,0.311648494590608,0.034472539751218126,0.330765223396942,False,rtms_apt,exit,0.46033358914717565
rtms_apt_n,months_permit_idle,284,-0.009291639239733487,0.8761132196067525,-0.057860740995435936,0.3312494346090074,False,rtms_apt,hub,0.4608875167458659
base_rate,kiscon_cnt_priv,798,0.0018762334354102198,0.9577968575035515,0.03439093846843195,0.33191187198359573,False,rates,kiscon,0.461689068547421
br_useapr_day,kfb_understated,201,0.02394529610690538,0.7358046258850064,-0.06844403767311383,0.33432323964509625,False,hub,exit,0.46492233091868135
rtms_apt_n_3m,hug_sago_n,335,0.18054865483277904,0.0009016188789450959,0.052897951095891266,0.3344203301558331,False,rtms_apt,hug,0.4649364288463962
ktb_3y,rtms_land_n_yoy_pct,798,-0.04383621087464117,0.21609525839012209,0.0341879155336913,0.3347758297334421,False,rates,rtms_land,0.4652796570616034
