macro_var,outcome,n_months,spearman_r,spearman_p,q_fdr
bank_loan_rate_all,rate_reappraisal,16,-0.13205271023755963,0.6258985028643205,0.8746736936410806
corp_bond_AA3y,rate_bid_reset,16,0.13107511045655376,0.6284802755564538,0.8746736936410806
bank_corp_loan_rate,rate_bid_cut,16,-0.13082129240691937,0.6291512533207773,0.8746736936410806
cd_91d,n_listed,17,-0.10892359253893655,0.6773095162854736,0.9183493007488955
cci_resi,rate_reappraisal,16,0.11053822148894946,0.683611978811015,0.9183493007488955
bank_corp_loan_rate,rate_bid_reset,16,0.11012639869283039,0.6847341277513694,0.9183493007488955
spread_AA_KTB,rate_bid_cut,16,-0.09499263622974963,0.7263830303691711,0.9328145600253254
cd_91d,med_excess,17,0.08979150922837077,0.7318139166672931,0.9328145600253254
spread_AA_KTB,rate_bid_reset,16,-0.09204712812960236,0.7345775530990685,0.9328145600253254
spread_AA_KTB,rate_reappraisal,16,0.09124358614431533,0.7368177484621782,0.9328145600253254
bank_facility_loan_rate,med_discount,17,-0.08348681744946383,0.7500586831839188,0.9328145600253254
nonbank_corp_loan_rate,med_excess,17,-0.08098165605155372,0.7573437310218881,0.9328145600253254
cci_civil,rate_bid_reset,16,0.0780559646539028,0.7738557458231184,0.9328145600253254
cci_plant,rate_reappraisal,16,-0.07363778236406555,0.7863716256543014,0.9328145600253254
cci_yoy_pct,rate_bid_cut,16,-0.06921944035346098,0.7989371868222523,0.9328145600253254
corp_bond_AA3y,rate_reappraisal,16,0.06769685423610493,0.8032782497407668,0.9328145600253254
nonbank_corp_loan_rate,rate_bid_cut,16,-0.0663227888262987,0.8072005002059517,0.9328145600253254
spread_BBB_KTB,rate_bid_reset,16,-0.06475351274757861,0.8116852445615589,0.9328145600253254
cd_91d,rate_reappraisal,16,0.060561894468521525,0.8236908226873304,0.9328145600253254
nonbank_corp_loan_rate,rate_bid_reset,16,-0.06042742981951659,0.8240765762335194,0.9328145600253254
spread_AA_KTB,n_listed,17,0.057055214723926384,0.8278168519802043,0.9328145600253254
base_rate_chg_12m,rate_reappraisal,16,0.058616469402603476,0.8292755230885195,0.9328145600253254
bank_corp_loan_rate,n_listed,17,-0.054769490033702566,0.83462355370687,0.9328145600253254
cci_bldg,rate_reappraisal,16,0.047128180713001955,0.8624029882112928,0.9499998600166911
cci_total,rate_reappraisal,16,-0.04565542506572064,0.8666665389625954,0.9499998600166911
spread_BBB_KTB,rate_bid_cut,16,-0.038263439350841914,0.8881158366818848,0.9510535323632298
cci_nonresi,rate_reappraisal,16,0.03537223087646383,0.8965258820664773,0.9510535323632298
cci_total,rate_bid_reset,16,0.0338983142889971,0.9008172925271851,0.9510535323632298
cci_plant,rate_bid_reset,16,-0.03242447453730158,0.9051110557617739,0.9510535323632298
cci_nonresi,rate_bid_reset,16,-0.030973485017427034,0.9093406581367723,0.9510535323632298
cci_resi,rate_bid_reset,16,0.026548701443508887,0.9222524585850301,0.9557889116244858
base_rate,rate_reappraisal,16,-0.01736833685729687,0.9490960327370411,0.9747472768650692
cci_civil,rate_reappraisal,16,-0.011773365954105204,0.9654827943192481,0.9827235585035204
cci_bldg,rate_bid_reset,16,-0.00442151925508658,0.987033883613434,0.9957686967427565
bank_facility_loan_rate,rate_reappraisal,16,0.0,1.0,1.0
